lat,long,year,code,value
-41.2520, 175.3900,2004,01,128.0
-41.2520, 175.3900,2004,02,12.5
-41.2520, 175.3900,2004,03,17.4
-41.2520, 175.3900,2004,04,7.7
-41.2520, 175.3900,2004,09,1976.3
-41.2860, 174.7670,2004,01,128.0
-41.2860, 174.7670,2004,02,12.4
-41.2860, 174.7670,2004,03,15.3
-41.2860, 174.7670,2004,04,9.5
-41.2860, 174.7670,2004,09,2073.2
-40.9070, 174.9840,2005,01,84.0
-40.9070, 174.9840,2005,01,92.0
-40.9070, 174.9840,2005,02,13.6
-40.9070, 174.9840,2005,02,13.6
-40.9070, 174.9840,2005,03,17.6
-40.9070, 174.9840,2005,03,17.4
-40.9070, 174.9840,2005,04,9.6
-40.9070, 174.9840,2005,04,9.8
-40.9070, 174.9840,2005,09,2162.5
-41.1350, 175.0520,2005,09,2146.6
-41.1350, 175.0530,2005,01,104.0
-41.1350, 175.0530,2005,02,13.1
-41.1350, 175.0530,2005,03,17.9
-41.1350, 175.0530,2005,04,8.4
-41.1350, 175.0530,2005,09,1824.8
-41.2520, 175.3900,2005,01,105.0
-41.2520, 175.3900,2005,02,13.5
-41.2520, 175.3900,2005,03,18.8
-41.2520, 175.3900,2005,04,8.3
-41.2520, 175.3900,2005,09,2125.4
-41.2860, 174.7670,2005,09,2210.6
-40.9070, 174.9840,2006,01,121.0
-40.9070, 174.9840,2006,01,128.0
-40.9070, 174.9840,2006,02,13.0
-40.9070, 174.9840,2006,02,12.9
-40.9070, 174.9840,2006,03,16.6
-40.9070, 174.9840,2006,03,16.4
-40.9070, 174.9840,2006,04,9.4
-40.9070, 174.9840,2006,04,9.4
-40.9070, 174.9840,2006,09,2066.4
-41.1350, 175.0530,2006,01,141.0
-41.1350, 175.0530,2006,02,12.4
-41.1350, 175.0530,2006,03,16.8
-41.1350, 175.0530,2006,04,8.0
-41.1350, 175.0530,2006,09,1654.6
-41.2520, 175.3900,2006,01,119.0
-41.2520, 175.3900,2006,02,12.8
-41.2520, 175.3900,2006,03,17.7
-41.2520, 175.3900,2006,04,7.8
-41.2860, 174.7670,2006,09,2159.4
-40.9070, 174.9840,2007,01,88.0
-40.9070, 174.9840,2007,01,85.0
-40.9070, 174.9840,2007,02,13.5
-40.9070, 174.9840,2007,03,17.4
-40.9070, 174.9840,2007,04,9.5
-40.9070, 174.9840,2007,09,2211.3
-41.1350, 175.0530,2007,01,101.0
-41.1350, 175.0530,2007,02,12.6
-41.1350, 175.0530,2007,03,17.5
-41.1350, 175.0530,2007,04,7.7
-41.1350, 175.0530,2007,09,1808.2
-41.2520, 175.3900,2007,01,82.0
-41.2520, 175.3900,2007,02,13.0
-41.2520, 175.3900,2007,03,18.2
-41.2520, 175.3900,2007,04,7.8
-41.2860, 174.7670,2007,09,2231.1
-40.9070, 174.9840,2008,01,112.0
-40.9070, 174.9840,2008,01,119.0
-40.9070, 174.9840,2008,02,13.4
-40.9070, 174.9840,2008,02,13.7
-40.9070, 174.9840,2008,03,17.6
-40.9070, 174.9840,2008,03,17.2
-40.9070, 174.9840,2008,04,9.7
-40.9070, 174.9840,2008,04,9.7
-40.9070, 174.9840,2008,09,2163.3
-41.1350, 175.0530,2008,01,135.0
-41.1350, 175.0530,2008,02,12.7
-41.1350, 175.0530,2008,03,17.9
-41.1350, 175.0530,2008,04,7.6
-41.1350, 175.0530,2008,09,1832.2
-41.2520, 175.3900,2008,01,109.0
-41.2520, 175.3900,2008,02,13.0
-41.2520, 175.3900,2008,03,18.3
-41.2520, 175.3900,2008,04,7.7
-41.2520, 175.3900,2008,09,2111.2
-41.2860, 174.7670,2008,09,2211.9
-40.9070, 174.9840,2009,01,105.0
-40.9070, 174.9840,2009,01,112.0
-40.9070, 174.9840,2009,02,12.5
-40.9070, 174.9840,2009,02,12.7
-40.9070, 174.9840,2009,03,16.1
-40.9070, 174.9840,2009,03,16.5
-40.9070, 174.9840,2009,04,8.9
-40.9070, 174.9840,2009,04,9.0
-40.9070, 174.9840,2009,09,2030.1
-41.1350, 175.0530,2009,01,131.0
-41.1350, 175.0530,2009,02,11.9
-41.1350, 175.0530,2009,03,16.9
-41.1350, 175.0530,2009,04,6.8
-41.1350, 175.0530,2009,09,1721.2
-41.2520, 175.3900,2009,01,97.0
-41.2520, 175.3900,2009,02,12.3
-41.2520, 175.3900,2009,03,17.5
-41.2520, 175.3900,2009,04,7.1
-41.2520, 175.3900,2009,09,2019.3
-41.2860, 174.7670,2009,09,2079.3
-40.9070, 174.9840,2010,01,105.0
-40.9070, 174.9840,2010,01,111.0
-40.9070, 174.9840,2010,02,13.3
-40.9070, 174.9840,2010,02,13.5
-40.9070, 174.9840,2010,03,17.0
-40.9070, 174.9840,2010,03,17.3
-40.9070, 174.9840,2010,04,9.6
-40.9070, 174.9840,2010,04,9.6
-40.9070, 174.9840,2010,09,2254.8
-40.9070, 174.9840,2010,09,2046.2
-41.1350, 175.0530,2010,01,123.0
-41.1350, 175.0530,2010,02,13.0
-41.1350, 175.0530,2010,03,18.1
-41.1350, 175.0530,2010,04,7.9
-41.1350, 175.0530,2010,09,1735.9
-41.2520, 175.3900,2010,01,100.0
-41.2520, 175.3900,2010,02,13.3
-41.2520, 175.3900,2010,03,18.5
-41.2520, 175.3900,2010,04,8.2
-41.2520, 175.3900,2010,09,1971.5
-41.2860, 174.7670,2010,09,2013.4
-40.9070, 174.9840,2011,01,114.0
-40.9070, 174.9840,2011,01,113.0
-40.9070, 174.9840,2011,02,13.4
-40.9070, 174.9840,2011,02,13.3
-40.9070, 174.9840,2011,03,17.0
-40.9070, 174.9840,2011,03,17.3
-40.9070, 174.9840,2011,04,9.4
-40.9070, 174.9840,2011,04,9.6
-40.9070, 174.9840,2011,09,2237.2
-40.9070, 174.9840,2011,09,2052.2
-41.1350, 175.0530,2011,01,127.0
-41.1350, 175.0530,2011,02,12.4
-41.1350, 175.0530,2011,03,17.3
-41.1350, 175.0530,2011,04,7.5
-41.1350, 175.0530,2011,09,1637.9
-41.2520, 175.3900,2011,01,101.0
-41.2520, 175.3900,2011,02,12.9
-41.2520, 175.3900,2011,03,18.1
-41.2520, 175.3900,2011,04,7.7
-41.2520, 175.3900,2011,09,1916.6
-41.2860, 174.7670,2011,09,1954.5
-40.9070, 174.9840,2012,01,106.0
-40.9070, 174.9840,2012,01,104.0
-40.9070, 174.9840,2012,02,12.9
-40.9070, 174.9840,2012,02,12.8
-40.9070, 174.9840,2012,03,16.9
-40.9070, 174.9840,2012,03,17.0
-40.9070, 174.9840,2012,04,8.7
-40.9070, 174.9840,2012,04,8.8
-40.9070, 174.9840,2012,09,2359.6
-40.9070, 174.9840,2012,09,2159.8
-41.1350, 175.0530,2012,01,121.0
-41.1350, 175.0530,2012,02,11.7
-41.1350, 175.0530,2012,03,16.6
-41.1350, 175.0530,2012,04,6.8
-41.1350, 175.0530,2012,09,1726.3
-41.2520, 175.3900,2012,01,99.0
-41.2520, 175.3900,2012,02,12.3
-41.2520, 175.3900,2012,03,17.5
-41.2520, 175.3900,2012,04,7.0
-41.2520, 175.3900,2012,09,1904.1
-41.2860, 174.7670,2012,09,2007.7
-40.9070, 174.9840,2013,01,103.0
-40.9070, 174.9840,2013,01,101.0
-40.9070, 174.9840,2013,02,13.7
-40.9070, 174.9840,2013,02,13.8
-40.9070, 174.9840,2013,03,17.7
-40.9070, 174.9840,2013,03,17.8
-40.9070, 174.9840,2013,04,9.9
-40.9070, 174.9840,2013,04,9.8
-40.9070, 174.9840,2013,09,2134.7
-41.1350, 175.0530,2013,01,109.0
-41.1350, 175.0530,2013,02,12.9
-41.1350, 175.0530,2013,03,17.9
-41.1350, 175.0530,2013,04,7.9
-41.1350, 175.0530,2013,09,1895.4
-41.2520, 175.3900,2013,02,13.6
-41.2520, 175.3900,2013,03,18.9
-41.2520, 175.3900,2013,04,8.2
-40.9070, 174.9840,2014,02,13.2
-40.9070, 174.9840,2014,02,13.1
-40.9070, 174.9840,2014,03,17.1
-40.9070, 174.9840,2014,03,17.3
-40.9070, 174.9840,2014,04,9.1
-40.9070, 174.9840,2014,04,9.0
-41.1350, 175.0530,2014,01,126.0
-41.1350, 175.0530,2014,02,12.6
-41.1350, 175.0530,2014,03,18.0
-41.1350, 175.0530,2014,04,7.1
-41.1350, 175.0530,2014,09,1843.7
-41.2520, 175.3900,2014,01,89.0
-41.2520, 175.3900,2014,02,12.7
-41.2520, 175.3900,2014,03,17.8
-41.2520, 175.3900,2014,04,7.7
-41.2520, 175.3900,2014,09,2034.9
